2026-02-14 21:20:27.074 | INFO     | app.main:lifespan:28 - Scheduler остановлен
2026-02-14 21:20:28.134 | INFO     | app.main:lifespan:18 - Запуск приложения...
2026-02-14 21:20:28.135 | INFO     | app.scheduler:configure_scheduler:29 - Scheduler настроен: парсинг в 8:00-20:00 (каждые 2ч) + 4:00 (МСК)
2026-02-14 21:20:28.135 | INFO     | app.scheduler:configure_scheduler:38 - Scheduler настроен: проверка вакансий (404) 05:00
2026-02-14 21:20:28.135 | INFO     | app.main:lifespan:21 - Scheduler запущен
2026-02-14 21:20:28.541 | INFO     | app.main:lifespan:26 - Остановка приложения...
2026-02-14 21:20:28.541 | INFO     | app.main:lifespan:28 - Scheduler остановлен
2026-02-14 21:20:29.580 | INFO     | app.main:lifespan:18 - Запуск приложения...
2026-02-14 21:20:29.580 | INFO     | app.scheduler:configure_scheduler:29 - Scheduler настроен: парсинг в 8:00-20:00 (каждые 2ч) + 4:00 (МСК)
2026-02-14 21:20:29.580 | INFO     | app.scheduler:configure_scheduler:38 - Scheduler настроен: проверка вакансий (404) 05:00
2026-02-14 21:20:29.581 | INFO     | app.main:lifespan:21 - Scheduler запущен
2026-02-14 21:20:31.400 | INFO     | app.main:lifespan:26 - Остановка приложения...
2026-02-14 21:20:31.400 | INFO     | app.main:lifespan:28 - Scheduler остановлен
2026-02-14 21:20:32.447 | INFO     | app.main:lifespan:18 - Запуск приложения...
2026-02-14 21:20:32.448 | INFO     | app.scheduler:configure_scheduler:29 - Scheduler настроен: парсинг в 8:00-20:00 (каждые 2ч) + 4:00 (МСК)
2026-02-14 21:20:32.448 | INFO     | app.scheduler:configure_scheduler:38 - Scheduler настроен: проверка вакансий (404) 05:00
2026-02-14 21:20:32.448 | INFO     | app.main:lifespan:21 - Scheduler запущен
2026-02-14 21:20:36.890 | INFO     | app.main:lifespan:26 - Остановка приложения...
2026-02-14 21:20:36.891 | INFO     | app.main:lifespan:28 - Scheduler остановлен
2026-02-14 21:20:39.677 | INFO     | app.main:lifespan:18 - Запуск приложения...
2026-02-14 21:20:39.677 | INFO     | app.scheduler:configure_scheduler:29 - Scheduler настроен: парсинг в 8:00-20:00 (каждые 2ч) + 4:00 (МСК)
2026-02-14 21:20:39.678 | INFO     | app.scheduler:configure_scheduler:38 - Scheduler настроен: проверка вакансий (404) 05:00
2026-02-14 21:20:39.678 | INFO     | app.main:lifespan:21 - Scheduler запущен
2026-02-14 21:21:09.492 | INFO     | app.main:lifespan:26 - Остановка приложения...
2026-02-14 21:21:09.493 | INFO     | app.main:lifespan:28 - Scheduler остановлен
2026-02-14 21:21:10.738 | INFO     | app.main:lifespan:18 - Запуск приложения...
2026-02-14 21:21:10.738 | INFO     | app.scheduler:configure_scheduler:29 - Scheduler настроен: парсинг в 8:00-20:00 (каждые 2ч) + 4:00 (МСК)
2026-02-14 21:21:10.738 | INFO     | app.scheduler:configure_scheduler:38 - Scheduler настроен: проверка вакансий (404) 05:00
2026-02-14 21:21:10.739 | INFO     | app.main:lifespan:21 - Scheduler запущен
2026-02-14 21:21:11.143 | INFO     | app.main:lifespan:26 - Остановка приложения...
2026-02-14 21:21:11.144 | INFO     | app.main:lifespan:28 - Scheduler остановлен
2026-02-14 21:21:16.982 | INFO     | app.main:lifespan:18 - Запуск приложения...
2026-02-14 21:21:16.982 | INFO     | app.scheduler:configure_scheduler:29 - Scheduler настроен: парсинг в 8:00-20:00 (каждые 2ч) + 4:00 (МСК)
2026-02-14 21:21:16.983 | INFO     | app.scheduler:configure_scheduler:38 - Scheduler настроен: проверка вакансий (404) 05:00
2026-02-14 21:21:16.983 | INFO     | app.main:lifespan:21 - Scheduler запущен
2026-02-14 21:21:19.106 | INFO     | app.main:lifespan:26 - Остановка приложения...
2026-02-14 21:21:19.106 | INFO     | app.main:lifespan:28 - Scheduler остановлен
2026-02-14 21:21:20.116 | INFO     | app.main:lifespan:18 - Запуск приложения...
2026-02-14 21:21:20.117 | INFO     | app.scheduler:configure_scheduler:29 - Scheduler настроен: парсинг в 8:00-20:00 (каждые 2ч) + 4:00 (МСК)
2026-02-14 21:21:20.117 | INFO     | app.scheduler:configure_scheduler:38 - Scheduler настроен: проверка вакансий (404) 05:00
2026-02-14 21:21:20.117 | INFO     | app.main:lifespan:21 - Scheduler запущен
2026-02-14 21:21:22.342 | INFO     | app.main:lifespan:26 - Остановка приложения...
2026-02-14 21:21:22.342 | INFO     | app.main:lifespan:28 - Scheduler остановлен
2026-02-14 21:21:23.385 | INFO     | app.main:lifespan:18 - Запуск приложения...
2026-02-14 21:21:23.385 | INFO     | app.scheduler:configure_scheduler:29 - Scheduler настроен: парсинг в 8:00-20:00 (каждые 2ч) + 4:00 (МСК)
2026-02-14 21:21:23.386 | INFO     | app.scheduler:configure_scheduler:38 - Scheduler настроен: проверка вакансий (404) 05:00
2026-02-14 21:21:23.386 | INFO     | app.main:lifespan:21 - Scheduler запущен
2026-02-14 21:21:23.892 | INFO     | app.main:lifespan:26 - Остановка приложения...
2026-02-14 21:21:23.892 | INFO     | app.main:lifespan:28 - Scheduler остановлен
2026-02-14 21:21:24.926 | INFO     | app.main:lifespan:18 - Запуск приложения...
2026-02-14 21:21:24.927 | INFO     | app.scheduler:configure_scheduler:29 - Scheduler настроен: парсинг в 8:00-20:00 (каждые 2ч) + 4:00 (МСК)
2026-02-14 21:21:24.927 | INFO     | app.scheduler:configure_scheduler:38 - Scheduler настроен: проверка вакансий (404) 05:00
2026-02-14 21:21:24.927 | INFO     | app.main:lifespan:21 - Scheduler запущен
2026-02-14 21:21:25.232 | INFO     | app.main:lifespan:26 - Остановка приложения...
